iteration,avg_reward
1,-20.76329855282381
2,-20.179625054692586
3,-21.11403462148863
4,-21.2368583054371
5,-20.975725832229674
6,-20.68859267219518
7,-21.268081293649917
8,-17.50485802312834
9,-18.981173337739996
10,-18.218792605307826
11,-17.520957442716746
12,-17.450372849684637
13,-16.89919996552129
14,-16.968878471438963
15,-15.505886927841129
16,-14.201847024134173
17,-17.779418652741654
18,-17.49512852248462
19,-14.22438181656255
20,-17.946925198410227
21,-16.268682266768813
22,-17.583589253956298
23,-15.882003740754461
24,-16.030642221619065
25,-15.025310863182956
26,-12.083479086422276
27,-16.285392175937513
28,-15.697611841571854
29,-16.002311306632507
30,-16.1930237292107
31,-14.879741420071321
32,-15.025328037239198
33,-14.402063063441554
34,-12.9864538884313
35,-13.909762330874058
36,-14.706786114168777
37,-13.008376054952846
38,-12.18550424605865
39,-13.896002113723092
40,-12.137007425409292
41,-16.019035801224604
42,-15.319798852217463
43,-14.25879192334684
44,-13.097424201413135
45,-13.161954156657782
46,-14.325737511029065
47,-8.631354704379621
48,-11.674408053559095
49,-11.134975871674866
50,-14.103898196158971
51,-14.075916180121016
52,-13.123957523776712
53,-11.356739162660363
54,-11.754028985916745
55,-11.145890865237373
56,-12.012556764992746
57,-10.446311883700485
58,-10.859377937370594
59,-11.397636260811883
60,-11.42345152354405
61,-10.35988999218098
62,-10.109123270665984
63,-9.075700445540933
64,-11.113776755674813
65,-9.439290960139777
66,-9.122999977953572
67,-9.535482478056533
68,-9.392003367205193
69,-9.418861825713446
70,-10.445178525426451
71,-9.15159009092273
72,-8.364720032089016
73,-7.506266194950523
74,-9.185462272608989
75,-9.43159573852388
