iteration,avg_reward
1,22.008
2,34.912
3,50.616
4,72.968
5,88.11
6,99.532
7,190.566
8,219.786
9,271.804
10,371.35
11,444.742
12,453.054
13,453.544
14,410.296
15,447.656
16,469.81
17,495.674
18,498.352
19,498.94
20,500.0
21,499.968
22,497.944
23,484.808
24,398.83
25,376.79
26,422.312
27,499.858
28,499.752
29,499.28
30,498.83
31,498.468
32,496.596
33,496.284
34,495.57
35,494.796
36,493.826
37,493.65
38,497.808
39,499.836
40,500.0
41,307.456
42,261.784
43,212.93
44,225.786
45,297.048
46,499.06
47,499.356
48,498.682
49,499.794
50,500.0
51,500.0
52,500.0
53,500.0
54,500.0
55,500.0
56,500.0
57,500.0
58,500.0
59,500.0
60,500.0
61,500.0
62,500.0
63,500.0
64,500.0
65,499.92
66,493.908
67,453.948
68,413.462
69,407.548
70,418.094
71,489.288
72,500.0
73,500.0
74,500.0
75,500.0
76,500.0
77,500.0
78,500.0
79,500.0
80,500.0
81,500.0
82,500.0
83,500.0
84,500.0
85,500.0
86,500.0
87,500.0
88,499.052
89,500.0
90,492.446
91,495.274
92,498.116
93,499.052
94,493.382
95,497.172
96,500.0
97,500.0
98,500.0
99,500.0
100,500.0
101,500.0
102,500.0
103,500.0
104,500.0
105,500.0
106,493.33
107,475.19
108,425.338
109,454.068
110,470.386
111,462.766
112,423.58
113,459.99
114,483.81
115,495.254
116,500.0
117,500.0
118,500.0
119,500.0
120,500.0
121,500.0
122,500.0
123,500.0
124,500.0
125,500.0
126,500.0
127,500.0
128,500.0
129,500.0
130,500.0
131,500.0
132,500.0
133,500.0
134,500.0
135,500.0
136,500.0
137,500.0
138,500.0
139,500.0
140,500.0
141,500.0
142,500.0
143,500.0
144,500.0
145,500.0
146,500.0
147,500.0
148,500.0
149,500.0
150,500.0
151,500.0
152,500.0
153,500.0
154,500.0
155,500.0
156,500.0
157,500.0
158,500.0
159,500.0
160,500.0
161,500.0
162,500.0
163,500.0
164,500.0
165,500.0
166,500.0
167,500.0
168,500.0
169,500.0
170,500.0
171,500.0
172,500.0
173,500.0
174,500.0
175,500.0
176,500.0
177,500.0
178,500.0
179,500.0
180,500.0
181,499.484
182,493.656
183,471.222
184,456.22
185,447.042
186,458.076
187,485.72
188,497.61
189,499.832
190,499.994
191,500.0
192,500.0
193,500.0
194,500.0
195,500.0
196,500.0
197,500.0
198,500.0
199,500.0
200,500.0
