iteration,avg_reward
1,21.962
2,33.552
3,53.296
4,77.408
5,145.69
6,96.906
7,213.052
8,330.814
9,398.688
10,396.116
11,197.288
12,263.542
13,497.628
14,498.496
15,476.654
16,499.204
17,497.744
18,492.27
19,478.388
20,477.758
21,488.274
22,495.794
23,499.056
24,499.664
25,500.0
26,499.356
27,498.82
28,498.814
29,498.838
30,455.44
31,491.32
32,435.43
33,491.778
34,484.422
35,485.978
36,492.402
37,492.404
38,488.476
39,492.818
40,476.348
41,246.372
42,245.442
43,337.508
44,499.226
45,500.0
46,500.0
47,499.84
48,499.154
49,498.774
50,496.492
51,490.68
52,479.114
53,473.94
54,483.676
55,494.494
56,497.176
57,496.884
58,498.36
59,499.806
60,500.0
61,499.986
62,499.95
63,500.0
64,499.994
65,500.0
66,500.0
67,500.0
68,500.0
69,500.0
70,500.0
71,500.0
72,500.0
73,500.0
74,500.0
75,500.0
76,500.0
77,500.0
78,500.0
79,500.0
80,500.0
81,500.0
82,500.0
83,500.0
84,500.0
85,500.0
86,500.0
87,500.0
88,500.0
89,500.0
90,500.0
91,500.0
92,498.778
93,492.106
94,495.102
95,498.324
96,499.706
97,499.896
98,500.0
99,500.0
100,500.0
101,500.0
102,500.0
103,500.0
104,500.0
105,500.0
106,299.076
107,344.526
108,500.0
109,500.0
110,500.0
111,500.0
112,500.0
113,500.0
114,500.0
115,500.0
116,500.0
117,500.0
118,500.0
119,500.0
120,500.0
121,500.0
122,500.0
123,500.0
124,500.0
125,500.0
126,500.0
127,500.0
128,500.0
129,500.0
130,500.0
131,500.0
132,500.0
133,500.0
134,500.0
135,500.0
136,500.0
137,500.0
138,500.0
139,500.0
140,500.0
141,500.0
142,500.0
143,500.0
144,500.0
145,500.0
146,500.0
147,500.0
148,500.0
149,500.0
150,500.0
151,500.0
152,500.0
153,500.0
154,500.0
155,500.0
156,500.0
157,500.0
158,500.0
159,500.0
160,500.0
161,500.0
162,500.0
163,500.0
164,500.0
165,500.0
166,500.0
167,500.0
168,500.0
169,500.0
170,500.0
171,500.0
172,500.0
173,500.0
174,500.0
175,500.0
176,500.0
177,500.0
178,500.0
179,500.0
180,500.0
181,500.0
182,500.0
183,500.0
184,500.0
185,500.0
186,500.0
187,500.0
188,500.0
189,500.0
190,500.0
191,500.0
192,500.0
193,500.0
194,500.0
195,500.0
196,500.0
197,500.0
198,500.0
199,500.0
200,500.0
