iteration,avg_reward
1,-20.569574540483607
2,-20.581732683203498
3,-22.953140996872538
4,-17.829384587409983
5,-16.961173917553207
6,-18.383138335912633
7,-18.361252353722247
8,-18.48964607743483
9,-18.44119136339948
10,-17.04760622593542
11,-16.51743788601806
12,-15.561038924985986
13,-16.520157446507568
14,-17.03694089880834
15,-16.522522791155083
16,-15.679258500105714
17,-16.129689445102773
18,-17.372876013384303
19,-16.358395245010712
20,-17.133449974062
21,-18.60593558519922
22,-14.473783284104673
23,-13.270310902322619
24,-16.015671764662315
25,-13.545619474725227
26,-14.93849501930501
27,-13.824447364520449
28,-14.16812896391598
29,-14.742358156253124
30,-13.569737483129616
31,-13.834565439981274
32,-16.505828088337246
33,-15.471704498166394
34,-13.233208639662225
35,-15.177935497144455
36,-13.285916575828542
37,-14.69334797767212
38,-12.317174701476574
39,-12.685628526075138
40,-13.382149461496365
41,-13.0245930678949
42,-12.070909678836859
43,-10.935183315856131
44,-13.332901738384036
45,-12.724032291176357
46,-11.96323910229478
47,-11.065097645334754
48,-11.797157389756022
49,-10.832739539643846
50,-10.241119014057114
51,-11.840338394917831
52,-8.246672663845338
53,-9.252636588845025
54,-10.520067527637211
55,-10.233645793019932
56,-10.330628849292815
57,-9.141128002672128
58,-8.690037036784586
59,-9.332683886226256
60,-8.3118440957028
61,-11.032544309651994
62,-8.210600248922638
63,-9.542254709374332
64,-8.528572268908139
65,-6.780040610693975
66,-8.1336342969314
67,-9.726946658049544
68,-8.624573310038501
69,-7.756245894731171
70,-7.356414330532477
71,-8.505909998286889
72,-8.582239580923058
73,-8.74639249570865
74,-7.347264366005034
75,-6.320153186606606
76,-8.25044134275325
77,-6.676800117655152
78,-7.012696087918514
79,-7.792574926871273
80,-6.941447112253806
81,-7.352332988910274
82,-6.286064360408822
83,-5.862108573518901
84,-7.300197173901281
85,-6.605144994964213
86,-6.862067787100349
87,-7.4605436930476285
88,-6.700868503252146
89,-6.3840792726142865
90,-5.467231805911661
91,-5.849751306696512
92,-6.66148552148351
93,-7.784901994645045
94,-6.326740990387277
95,-7.007404881195066
96,-5.430553144791844
97,-4.682721046106953
98,-6.094465021181926
99,-6.50440080394362
100,-5.156927661605095
101,-4.9728489645442195
102,-5.6519714799355825
103,-4.412554520571334
104,-5.617058610754519
105,-5.000113237166957
106,-5.2217923410542255
107,-4.934960759850585
108,-5.179748715548912
109,-4.968051191527231
110,-5.7009102916037815
111,-4.745210606550228
112,-5.408560232684925
113,-5.064889024549717
114,-4.284232594847436
115,-5.148662100804754
116,-5.589839025131273
117,-5.2718527120862975
118,-4.803223106955789
119,-4.945839551531196
120,-3.971021230657067
121,-4.812594014825969
122,-4.632679802484464
123,-4.411383292644401
124,-4.675971222848579
125,-5.680817622201162
126,-5.750773289106906
127,-6.04801301189326
128,-5.4110868939876084
129,-4.784017852017851
130,-4.403805509054222
131,-4.563345616987991
132,-4.808943575685282
133,-4.652467103593406
134,-5.765618384768139
135,-4.859387123233271
136,-4.170999853579447
137,-4.070587444826828
138,-3.653594943734085
139,-4.197914296641211
140,-3.8127690960823184
141,-4.730724492616691
142,-3.8550237906500247
143,-3.9521875086969778
144,-3.3402119687028478
145,-4.5921315334954755
146,-3.53545395427927
147,-3.332093395550857
148,-4.109786431905363
149,-3.8282428622857845
150,-3.8351437837305
