iteration,avg_reward
1,-26.70825003159595
2,-23.27032453630388
3,-23.3615329934614
4,-23.263803848856053
5,-22.096339273421748
6,-22.803486437047297
7,-23.841573541826005
8,-21.590116303031643
9,-21.928019595760684
10,-18.42642826389664
11,-18.55700695081676
12,-21.143400479225413
13,-17.32831703448806
14,-19.607835380531938
15,-22.556617757532965
16,-21.192032082227872
17,-19.185157126451795
18,-19.898703224003118
19,-20.561319270280176
20,-19.529519681117836
21,-20.850765926650944
22,-19.99199962429808
23,-19.666678002803543
24,-18.293769579448288
25,-20.82115328019807
26,-17.67169421391928
27,-20.124167050895757
28,-18.094074293213747
29,-16.944781280887177
30,-19.563572142339144
31,-17.276759925499675
32,-15.895097979589094
33,-16.955244882096448
34,-16.49125879943858
35,-18.817319656461386
36,-16.2277454179776
37,-15.574792006782145
38,-17.91791774901542
39,-15.81361555301371
40,-15.955614516958432
41,-14.131797397614383
42,-17.265741627836828
43,-14.622328032737288
44,-15.580006656595122
45,-14.751890647796817
46,-14.702137535602953
47,-16.18349486792242
48,-15.525026131347428
49,-16.30572212324964
50,-16.724159347744067
51,-16.860872843349814
52,-15.579458693602163
53,-14.4119685506499
54,-17.510594509865545
55,-14.405164378258485
56,-14.637269842619046
57,-10.862853955190158
58,-14.696766133445813
59,-19.41417472889817
60,-15.020921386737717
61,-19.130854273454457
62,-16.67984678374418
63,-11.076826610281103
64,-16.015642019729547
65,-16.322256770431334
66,-16.614366854765105
67,-14.619647485372068
68,-14.188014322271554
69,-13.64091017413008
70,-13.537381876239415
71,-15.822190876158638
72,-12.69492683111591
73,-10.857100765446633
74,-13.264242000664478
75,-13.50806412365685
