iteration,avg_reward
1,-22.954419948413893
2,-19.914206328250838
3,-19.866920401669457
4,-19.587162348987018
5,-17.44982845125609
6,-18.95201965183341
7,-17.003899961137098
8,-14.622048353770413
9,-17.903142108718246
10,-13.517395000617757
11,-17.044396562942673
12,-18.4176069155469
13,-18.889363783602683
14,-17.083564851070385
15,-15.294709401271405
16,-17.060746600204286
17,-16.607331817763665
18,-16.569442176545383
19,-17.653051889114796
20,-15.473529853250549
21,-19.446382011311975
22,-17.711559981611952
23,-14.593584019398937
24,-14.2694311513495
25,-12.56821384492768
26,-13.937027814471545
27,-17.586983729207724
28,-14.924752931127511
29,-17.503885379652054
30,-12.794441713547403
31,-14.022613765547575
32,-16.56802202822093
33,-14.801360999504146
34,-19.484669850963883
35,-17.429461222522733
36,-16.095753194058922
37,-15.274343518806978
38,-13.533919932088134
39,-15.245670756748032
40,-15.376712362029641
41,-13.733623894419546
42,-14.383397182411656
43,-13.723791958424746
44,-15.56191040283592
45,-11.88006911778839
46,-15.269824659811539
47,-15.247066340268447
48,-12.14772306547367
49,-11.131796955106694
50,-11.490847926609156
51,-11.486102114884615
52,-10.91461808277388
53,-11.558948550075085
54,-11.89460845820632
55,-12.997508466274288
56,-12.187944989842816
57,-8.756640366800237
58,-12.43907883658795
59,-13.955521731605696
60,-13.548910531221287
61,-17.785977687659855
62,-11.146245592419067
63,-15.3747575830822
64,-10.722667971732182
65,-11.175735034419281
66,-9.215189827325652
67,-10.887650484868832
68,-12.564430463511451
69,-12.81954211765401
70,-11.482543120274162
71,-12.737347781042946
72,-10.474355085956372
73,-8.93623461296509
74,-12.420842964687058
75,-12.296980687068917
