iteration,avg_reward
1,-16.030964701220785
2,-22.318405972673492
3,-16.20075142920677
4,-22.050524891724823
5,-19.130812591277127
6,-17.976330870899638
7,-22.96462017929373
8,-23.012136371763987
9,-18.9392428288476
10,-21.34560809310322
11,-23.26309270072666
12,-20.90591555992091
13,-20.328137924049262
14,-20.330971898395926
15,-16.85457328417291
16,-16.911415579312735
17,-19.906220510768215
18,-18.43654140659659
19,-17.305405398411793
20,-19.59589027573727
21,-19.090146646190405
22,-18.71630079718015
23,-20.750956670955073
24,-21.45183347333688
25,-16.540681544216532
26,-18.52870333021716
27,-16.545831939894107
28,-17.04350477632308
29,-16.12707583006885
30,-18.2023490696357
31,-14.845642379747863
32,-18.870959236165103
33,-19.95782778170592
34,-17.808397195901836
35,-16.98192882082622
36,-16.890084621809518
37,-18.27664023502968
38,-18.484616143839137
39,-15.716356191106318
40,-13.348779073511613
41,-15.223837622268723
42,-13.943604117820842
43,-15.49133066302026
44,-14.04699983373691
45,-10.967638398142366
46,-12.622741703562385
47,-13.510020205885382
48,-15.313830703870748
49,-13.897747160258973
50,-14.867202245658813
51,-15.36636481592548
52,-13.96326219192729
53,-14.182580460758999
54,-13.35289181296499
55,-13.109087501567105
56,-13.332412725852334
57,-13.569307084817979
58,-15.260845940144229
59,-13.104329996842296
60,-12.167506933981068
61,-13.180876525145983
62,-12.14022824682803
63,-11.56359489082191
64,-10.820304687071046
65,-10.252747510949861
66,-11.91266723246508
67,-9.972228471319516
68,-10.237770700753448
69,-8.605857956177287
70,-10.353057882665928
71,-10.363128937136175
72,-9.143157562207627
73,-8.059595739958947
74,-9.548296347046938
75,-9.195239373340883
