iteration,avg_reward
1,22.736
2,30.268
3,46.14
4,67.087
5,86.632
6,173.204
7,242.989
8,258.257
9,355.411
10,321.817
11,359.626
12,422.456
13,482.0
14,488.583
15,498.813
16,499.691
17,499.918
18,500.0
19,500.0
20,500.0
21,495.181
22,477.065
23,499.879
24,500.0
25,500.0
26,500.0
27,500.0
28,500.0
29,500.0
30,499.92
31,499.196
32,492.946
33,499.955
34,500.0
35,499.38
36,495.162
37,451.908
38,416.808
39,454.421
40,499.106
41,499.312
42,498.799
43,499.421
44,499.501
45,498.926
46,498.607
47,499.583
48,499.566
49,499.784
50,499.844
51,499.771
52,499.914
53,499.759
54,499.895
55,499.853
56,499.802
57,498.255
58,497.325
59,496.958
60,497.994
61,499.191
62,497.605
63,497.565
64,491.827
65,489.784
66,493.622
67,497.296
68,499.619
69,500.0
70,500.0
71,500.0
72,499.964
73,499.896
74,499.903
75,500.0
76,500.0
77,500.0
78,500.0
79,500.0
80,500.0
81,500.0
82,500.0
83,500.0
84,500.0
85,500.0
86,500.0
87,500.0
88,499.967
89,500.0
90,500.0
91,500.0
92,499.451
93,494.758
94,490.163
95,477.124
96,498.449
97,499.335
98,499.883
99,499.849
100,500.0
101,500.0
102,499.591
103,499.616
104,499.865
105,499.926
106,500.0
107,500.0
108,500.0
109,500.0
110,500.0
111,500.0
112,499.616
113,499.491
114,499.423
115,499.397
116,496.279
117,482.866
118,474.762
119,466.736
120,447.619
121,470.332
122,498.587
123,500.0
124,500.0
125,500.0
126,500.0
127,500.0
128,500.0
129,500.0
130,499.909
131,500.0
132,500.0
133,499.804
134,499.721
135,499.67
136,498.387
137,499.177
138,500.0
139,500.0
140,500.0
141,500.0
142,500.0
143,500.0
144,500.0
145,500.0
146,500.0
147,500.0
148,500.0
149,500.0
150,500.0
151,500.0
152,500.0
153,500.0
154,500.0
155,499.95
156,498.45
157,483.434
158,487.439
159,498.373
160,500.0
161,500.0
162,500.0
163,500.0
164,500.0
165,489.608
166,499.431
167,499.974
168,499.854
169,500.0
170,500.0
171,500.0
172,500.0
173,500.0
174,500.0
175,500.0
176,499.931
177,455.659
178,392.778
179,447.287
180,500.0
181,500.0
182,500.0
183,500.0
184,500.0
185,500.0
186,500.0
187,500.0
188,500.0
189,500.0
190,500.0
191,500.0
192,500.0
193,500.0
194,500.0
195,500.0
196,500.0
197,500.0
198,500.0
199,500.0
200,500.0
