step,phase,wp_idx,wp_total,ee_x,ee_y,ee_z,cube_x,cube_y,cube_z,cube_top_z,ee_xy_dist,ee_above_cube_top,gripper_cmd,act_norm,grasp_ready_at_lift,reward
1,0,0,20,0.6526690721511841,-0.44438251852989197,0.4773859679698944,0.7219117231245888,-0.03683631615922299,0.07515507629468823,0.10016053098107502,0.41338656458644013,0.3772254369888194,0.04,1.4907795190811157,False,0.04399591373742381
2,0,0,20,0.6513725519180298,-0.4443902373313904,0.473226398229599,0.721911624172034,-0.03683632478689404,0.07539159253034135,0.10039739310141915,0.41361328840449824,0.37282900512817985,0.04,1.0845935344696045,False,0.02453561775450037
3,0,0,20,0.6522722244262695,-0.44534391164779663,0.46629416942596436,0.7219118970217042,-0.036835613222654356,0.0755610881586816,0.10056609187592205,0.4144016335409459,0.36572807755004233,0.04,1.4266141653060913,False,0.03665872232015356
4,0,0,20,0.6523242592811584,-0.44566741585731506,0.46297693252563477,0.7219120960735479,-0.03683508409656228,0.07568251258805672,0.10068695056683599,0.4147123611883042,0.3622899819587988,0.04,1.2278966903686523,False,0.015579571768804236
5,0,0,20,0.651688814163208,-0.44731438159942627,0.4565786123275757,0.7219122426590595,-0.03683468454601403,0.07576949920918714,0.10077353562628172,0.4164431673143084,0.35580507670129397,0.04,1.5065127611160278,False,0.024137879728369182
6,0,0,20,0.6521785855293274,-0.4473738968372345,0.4537014365196228,0.7219123522593365,-0.036834377373178705,0.07583181510777161,0.10083556652184002,0.4164198545508285,0.3528658699977828,0.04,1.238430380821228,False,0.014422624704247865
7,0,0,20,0.6526639461517334,-0.4492282271385193,0.4480985105037689,0.7219124357943183,-0.036834136057353556,0.07587645727491374,0.10088000643035394,0.4181677171619541,0.347218504073415,0.04,1.508150577545166,False,0.01791716526794864
8,0,0,20,0.6540762186050415,-0.4504220187664032,0.4461059272289276,0.7219125009647971,-0.03683394169060049,0.07590843824856784,0.10091184387997046,0.41911437425081544,0.3451940833489572,0.04,1.2576124668121338,False,0.0006936347012982474
9,0,0,20,0.6534036993980408,-0.45188942551612854,0.4414328932762146,0.7219125532000632,-0.03683378079278144,0.07593134893481907,0.1009346527301203,0.42067166682102586,0.3404982405460943,0.04,1.4399058818817139,False,0.01266488513378619
10,0,0,20,0.6546467542648315,-0.4525975286960602,0.43912091851234436,0.7219125963269464,-0.03683364375363958,0.0759477618043525,0.10095099334964418,0.4211701574550834,0.33816992516270017,0.04,1.2586405277252197,False,0.005813167883794435
11,0,0,20,0.6540040969848633,-0.4532667398452759,0.4350876212120056,0.7219126330420651,-0.03683352372198964,0.07595951973621501,0.10096270002694234,0.42193387249688297,0.33412492118506326,0.04,1.369456171989441,False,0.014241736320372202
12,0,0,20,0.6537644267082214,-0.45411717891693115,0.43312618136405945,0.7219126652450968,-0.0368334158137135,0.07596794294107363,0.10097108687504182,0.4228119219762625,0.33215509448901764,0.04,1.3703711032867432,False,-0.0008905335838150104
13,0,0,20,0.6531403660774231,-0.4548231065273285,0.4299125075340271,0.7219126942739179,-0.03683331654707336,0.07597397719788736,0.10097709534518347,0.42360960524202496,0.32893541218884365,0.04,1.2826036214828491,False,0.00883692852825429
14,0,0,20,0.6537145376205444,-0.4558278024196625,0.42761287093162537,0.7219127210704687,-0.036833223440106866,0.07597830004840726,0.1009813999078561,0.4245084798212217,0.32663147102376927,0.04,1.31317138671875,False,0.0023672436341864926
15,0,0,20,0.6535168886184692,-0.4569368064403534,0.42475250363349915,0.7219127462977241,-0.03683313472358787,0.07598139687330598,0.10098448376434196,0.42563492377575035,0.32376801986915715,0.04,1.4751787185668945,False,0.002235531227982464
16,0,0,20,0.6552953124046326,-0.45812246203422546,0.42360925674438477,0.7219127704221638,-0.0368330491363849,0.07598361539196474,0.10098669308765505,0.4265239209382338,0.3226225636567297,0.04,1.3225418329238892,False,-0.00577877516942631
17,0,0,20,0.6555432677268982,-0.4584501385688782,0.4210330843925476,0.7219127937719019,-0.03683296577956757,0.07598520470529614,0.10098827588160056,0.4268090373671694,0.3200448085109471,0.04,1.3164021968841553,False,0.007871022009962904
18,0,0,20,0.6538665890693665,-0.458893358707428,0.419147253036499,0.721912816577649,-0.036832884012398134,0.0759863432654318,0.10098940982001618,0.42751062370180093,0.3181578432164828,0.04,1.3157185316085815,False,0.0008399876395575384
19,0,0,20,0.6561513543128967,-0.4594874382019043,0.41729670763015747,0.7219128518227791,-0.03683279038876084,0.07598715384675069,0.10099019182093384,0.42774002135969763,0.31630651580922364,0.04,1.2881953716278076,False,0.003876524498700682
20,0,0,20,0.6558424234390259,-0.46041634678840637,0.41622254252433777,0.7219130326547145,-0.03683288501352579,0.07598747969828022,0.10099060989829467,0.4287053469357759,0.3152319326260431,0.04,1.300438404083252,False,-0.007289983086600056
21,0,0,20,0.6569711565971375,-0.4608137607574463,0.41399919986724854,0.7219133029837904,-0.036832764924857306,0.07598766302808369,0.10099061116581962,0.4289258294909497,0.3130085887014289,0.04,1.339580774307251,False,0.0060281807902201725
22,0,0,20,0.6577171683311462,-0.46181637048721313,0.4131351709365845,0.7219135117208306,-0.03683261766702609,0.07598779424025685,0.10099061115817212,0.42980502633838064,0.3121445597784124,0.04,1.3300124406814575,False,-0.007700820251546001
23,0,0,20,0.6575173139572144,-0.4620862603187561,0.4112648367881775,0.7219136759317505,-0.03683245132696796,0.07598788825562501,0.10099061114829955,0.43010195709573296,0.31027422563987794,0.04,1.325716495513916,False,0.003046495573700381
24,0,0,20,0.6578244566917419,-0.4630356729030609,0.41035279631614685,0.7219138082402694,-0.03683227131982475,0.07598795561950988,0.1009906111403812,0.43099510960454296,0.30936218517576564,0.04,1.329516887664795,False,-0.007714946499222333
25,0,0,20,0.6577833294868469,-0.4636545777320862,0.4089628756046295,0.7219139176921474,-0.03683208152321481,0.07598800388722507,0.10099061113422843,0.4316134562470566,0.3079722644704011,0.04,1.3188196420669556,False,-0.002211294512540929
26,0,0,20,0.6568366885185242,-0.46443086862564087,0.40796664357185364,0.7219140107683584,-0.0368318847146248,0.07598803847222156,0.10099061112952352,0.4325227727102264,0.3069760324423301,0.04,1.2915257215499878,False,-0.006645378145015924
27,0,0,20,0.6581059098243713,-0.465118944644928,0.4061548113822937,0.7219140921122694,-0.03683168288353338,0.07598806325330612,0.10099061112594977,0.43301439088552124,0.30516420025634394,0.04,1.4533878564834595,False,0.0004209512597411742
28,0,0,20,0.6586052775382996,-0.46554479002952576,0.4061792194843292,0.7219141650506612,-0.03683147745497859,0.075988081009703,0.10099061112323456,0.433362572930213,0.3051886083610947,0.04,1.230286717414856,False,-0.00882652766962333
29,0,0,20,0.6580438017845154,-0.46617671847343445,0.4046199321746826,0.7219142319670281,-0.0368312694496966,0.07598809373277367,0.1009906111211591,0.43407020912416266,0.3036293210535235,0.04,1.313775658607483,False,-0.002271750277888633
30,0,0,20,0.6582848429679871,-0.46598589420318604,0.40539535880088806,0.7219142945690378,-0.03683105959882729,0.07598810284936507,0.10099061111955464,0.4338462621428759,0.3044047476813334,0.04,1.037548303604126,False,-0.007237597715812411
31,0,0,20,0.6585023999214172,-0.46670976281166077,0.403071790933609,0.7219143540801564,-0.036830848426076444,0.07598810938184038,0.10099061111829409,0.4345307318977089,0.3020811798153149,0.04,1.4724403619766235,False,0.001792007697647837
32,0,0,20,0.6573852300643921,-0.46637508273124695,0.40413525700569153,0.7219144113769407,-0.03683063630656751,0.0759881140627431,0.10099061111728325,0.4343644169302454,0.3031446458884083,0.04,1.0543092489242554,False,-0.009934150214817432
33,0,0,20,0.6594220399856567,-0.46703028678894043,0.40190181136131287,0.7219144670874027,-0.03683042350899638,0.07598811741695546,0.100990611116453,0.43471510879097536,0.30091120024485984,0.04,1.4431242942810059,False,0.003521478289633445
34,0,0,20,0.6580411195755005,-0.4674123227596283,0.4025214612483978,0.7219145216614832,-0.036830210225826276,0.07598811982056641,0.10099061111575301,0.43529388593007984,0.3015308501326448,0.04,1.270944356918335,False,-0.014505406384500215
35,0,0,20,0.6585106253623962,-0.4681367874145508,0.4011724591255188,0.7219145754215437,-0.036829996594916,0.07598812154305144,0.10099061111514678,0.43594220797054634,0.300181848010372,0.04,1.275719165802002,False,-0.002884255366218933
36,0,0,20,0.6587160229682922,-0.46825894713401794,0.4009653329849243,0.7219146285985408,-0.03682978271501193,0.07598812277749542,0.10099061111460793,0.43603347080802113,0.2999747218703164,0.04,1.263154149055481,False,-0.004922022020151695
37,0,0,20,0.6581697463989258,-0.46911463141441345,0.3997088670730591,0.7219146813579439,-0.03682956865684476,0.0759881236622477,0.10099061111411747,0.4369597146376821,0.29871825595894164,0.04,1.392223596572876,False,-0.00613921518516995
