step,phase,wp_idx,wp_total,ee_x,ee_y,ee_z,cube_x,cube_y,cube_z,cube_top_z,ee_xy_dist,ee_above_cube_top,gripper_cmd,act_norm,grasp_ready_at_lift,reward
1,0,0,20,0.6483442187309265,-0.4446900486946106,0.47730955481529236,0.6337029667473378,-0.0421111642001299,0.07588798536763044,0.10089010468719609,0.40284503782529996,0.3764194501280963,0.04,1.483982801437378,False,0.038108306953677264
2,0,0,20,0.6458228826522827,-0.44602257013320923,0.4730275571346283,0.6337028579888777,-0.04211123944172217,0.07591669117369329,0.10091910703078487,0.4040931304276396,0.3721084501038434,0.04,1.4539741277694702,False,0.013900545092370568
3,0,0,20,0.6457804441452026,-0.4473230838775635,0.466126024723053,0.6337027841932019,-0.042111266758433484,0.0759372555785065,0.10093988482559828,0.4053917692836196,0.3651861398974547,0.04,1.5930489301681519,False,0.03082714343908568
4,0,0,20,0.6433867812156677,-0.4485759139060974,0.4631040394306183,0.6337027355610695,-0.04211125958939564,0.0759519876069763,0.10095477040790908,0.4065799994454181,0.3621492690227092,0.04,1.2672464847564697,False,0.006204509619698011
5,0,0,20,0.6434034109115601,-0.4500311613082886,0.4575391411781311,0.6337027050393597,-0.04211122760556086,0.07596254140940106,0.10096543470451066,0.40803526318990707,0.3565737064736204,0.04,1.5021073818206787,False,0.020601746296657616
6,0,0,20,0.6422379612922668,-0.45133545994758606,0.4543953835964203,0.6337026875516096,-0.04211117776614049,0.07597010199393246,0.10097307479690873,0.4093132834697005,0.35342230879951153,0.04,1.290076732635498,False,0.006222939977234607
7,0,0,20,0.6415129899978638,-0.4521438479423523,0.44921472668647766,0.6337026794441266,-0.04211111507889261,0.07597551828244188,0.10097854829552572,0.4101071115823562,0.34823617839095194,0.04,1.461511254310608,False,0.02214959744861871
8,0,0,20,0.6396393179893494,-0.4535024166107178,0.44692936539649963,0.6337026780872859,-0.042111043147271564,0.07597939842970045,0.10098246960771123,0.4114342059837362,0.3459468957887884,0.04,1.331886887550354,False,-0.0008750314694746841
9,0,0,20,0.6391829252243042,-0.45417332649230957,0.44205179810523987,0.6337026815885414,-0.04211096456418465,0.07598217810858302,0.10098527890582834,0.4120988027016001,0.34106651919941156,0.04,1.4812626838684082,False,0.02071427068509915
10,0,0,20,0.6385291814804077,-0.4554346203804016,0.4402484595775604,0.6337026885858521,-0.042110881195354964,0.07598416942854813,0.10098729153720327,0.4133519183547715,0.33926116804035716,0.04,1.2851274013519287,False,-0.0037615612702196805
11,0,0,20,0.6377662420272827,-0.4566636383533478,0.43591490387916565,0.6337026980989952,-0.04211079438323711,0.07598559598009379,0.10098873342228633,0.4145727593956989,0.33492617045687934,0.04,1.502482295036316,False,0.012456922865110704
12,0,0,20,0.638808012008667,-0.4578711688518524,0.43461349606513977,0.6337027094225456,-0.042110705093757944,0.07598661794007387,0.1009897664145214,0.4157918076860602,0.3336237296506184,0.04,1.2750648260116577,False,-0.006359752624996335
13,0,0,20,0.6376526355743408,-0.4588049054145813,0.4308786988258362,0.6337027806539476,-0.04211080066381168,0.07598724040049638,0.10099060951215476,0.416712824722179,0.3298880893136814,0.04,1.3724479675292969,False,0.01109498253893445
14,0,0,20,0.6377535462379456,-0.45994052290916443,0.43011221289634705,0.6337030988614174,-0.04211063050443331,0.0759874812810267,0.1009906351266134,0.4178495244832752,0.32912157776973366,0.04,1.2682485580444336,False,-0.010079418078084892
15,0,0,20,0.6372535228729248,-0.4607909619808197,0.4266749322414398,0.6337033413165122,-0.04211043365305626,0.0759876509288559,0.10099063519438224,0.418695579854742,0.3256842970470576,0.04,1.3659740686416626,False,0.009744306253982052
16,0,0,20,0.6369336247444153,-0.46162429451942444,0.4252486526966095,0.6337035234513941,-0.042110226842710506,0.07598777247488894,0.10099063518218185,0.4195265027778647,0.3242580175144276,0.04,1.340654730796814,False,-0.003496582413959606
17,0,0,20,0.6365944147109985,-0.46260160207748413,0.421769917011261,0.6337036623507922,-0.04211001293100898,0.07598785956483715,0.10099063517207513,0.4205015255526859,0.32077928183918586,0.04,1.6263463497161865,False,0.006493791190687655
18,0,0,20,0.6364246010780334,-0.4626946449279785,0.42013275623321533,0.6337037702744137,-0.042109793934804886,0.07598792196652261,0.10099063516422299,0.42059365164635093,0.3191421210689923,0.04,1.410051941871643,False,0.002835906119428043
19,0,0,20,0.6359100937843323,-0.46313193440437317,0.4174518287181854,0.6337038560057671,-0.042109571298071344,0.07598796667864248,0.10099063515827827,0.4210281436207682,0.31646119355990715,0.04,1.422500729560852,False,0.006929209014322251
20,0,0,20,0.634412944316864,-0.46425849199295044,0.4160766005516052,0.6337039258377438,-0.042109346054697475,0.0759879987158524,0.10099063515384968,0.42214974135204697,0.3150859653977556,0.04,1.5068532228469849,False,-0.007530249200005302
21,0,0,20,0.6353258490562439,-0.4651709794998169,0.4150758385658264,0.6337039842788283,-0.04210911894495369,0.0759880216712325,0.10099063515058397,0.4230649693622704,0.31408520341524243,0.04,1.2825751304626465,False,-0.006879294093804741
22,0,0,20,0.6335400342941284,-0.4660292863845825,0.41257548332214355,0.6337040345590729,-0.042108890498879024,0.07598803811928935,0.10099063514819079,0.4239204276087418,0.31158484817395277,0.04,1.594706416130066,False,0.0009614724568295199
23,0,0,20,0.6347647309303284,-0.46667346358299255,0.4120912253856659,0.6337040789926063,-0.04210866109598585,0.0759880499047073,0.10099063514644284,0.4245661273504564,0.31110059023922304,0.04,1.277410626411438,False,-0.007826307382185751
24,0,0,20,0.632806122303009,-0.46751588582992554,0.40995264053344727,0.6337041192373534,-0.042108431008008484,0.07598805834924084,0.10099063514516751,0.4254084026163041,0.3089620053882798,0.04,1.5112049579620361,False,-0.0008080346343484585
