step,phase,wp_idx,wp_total,ee_x,ee_y,ee_z,cube_x,cube_y,cube_z,cube_top_z,ee_xy_dist,ee_above_cube_top,gripper_cmd,act_norm,grasp_ready_at_lift,reward
1,0,0,20,0.6483963131904602,-0.44165870547294617,0.47841906547546387,0.70189070267308,0.07207265809849618,0.07543414445335614,0.10043777571490707,0.5165090160133622,0.3779812897605568,0.04,1.6931160688400269,False,0.04566419190882005
2,0,0,20,0.6498621702194214,-0.4404393136501312,0.47554242610931396,0.7018906849021385,0.07207290906537504,0.0755915711757788,0.10059505331986636,0.5151463333586664,0.3749473727894476,0.04,1.360678791999817,False,0.02295952424543029
3,0,0,20,0.6485019326210022,-0.43947556614875793,0.46893081068992615,0.7018906758882298,0.0720731138677307,0.07570434931135125,0.100707729686268,0.5143271429102939,0.36822308100365814,0.04,1.6869865655899048,False,0.04103863985036241
4,0,0,20,0.650330662727356,-0.43802618980407715,0.46697914600372314,0.7018906736370296,0.07207328649301888,0.07578514187119202,0.10078845296310085,0.5126986546145575,0.3661906930406223,0.04,1.454013705253601,False,0.01847978557955895
5,0,0,20,0.6490171551704407,-0.43732786178588867,0.46085432171821594,0.701890676581049,0.07207343670803162,0.07584302044581731,0.1008462845002357,0.512137962050901,0.36000803721798025,0.04,1.739965558052063,False,0.03492151726805718
6,0,0,20,0.6491475701332092,-0.4358297288417816,0.4600525498390198,0.7018906834979449,0.07207357132785379,0.07588448378613942,0.1008877160035123,0.5106345056208129,0.35916483383550746,0.04,1.2722891569137573,False,0.011237516483453754
7,0,0,20,0.6488068103790283,-0.43534788489341736,0.4544145166873932,0.7018906934408303,0.07207369510452867,0.07591418749952389,0.10091739824194279,0.5101907079598089,0.3534971184454504,0.04,1.6230837106704712,False,0.03191739876401266
8,0,0,20,0.6491562128067017,-0.4345419704914093,0.4542565941810608,0.7018907056803508,0.07207381134907591,0.07593546679304493,0.10093866310596346,0.5093529985663057,0.35331793107509735,0.04,1.1219301223754883,False,0.0017964762696473376
9,0,0,20,0.6487342119216919,-0.4344521760940552,0.44866421818733215,0.7018907196574591,0.07207392236663052,0.07595071095887905,0.1009538976188682,0.5093076700153522,0.34771032056846396,0.04,1.7004127502441406,False,0.027646631775166148
10,0,0,20,0.6490455269813538,-0.43339020013809204,0.44766220450401306,0.7018907349454787,0.07207402976067279,0.07596163165000257,0.10096481188498173,0.5082191492967605,0.3466973926190313,0.04,1.4041959047317505,False,0.007964904398646363
11,0,0,20,0.6470395922660828,-0.43323537707328796,0.44248509407043457,0.7018907512199881,0.07207413464560264,0.0759694550688632,0.1009726310523062,0.5082778298058752,0.3415124630181284,0.04,1.7455253601074219,False,0.023233946376604073
12,0,0,20,0.6488273739814758,-0.43189340829849243,0.44230547547340393,0.7018907682351392,0.07207423779517631,0.07597505964845251,0.10097823283784056,0.5067535023252558,0.34132724263556335,0.04,1.3720046281814575,False,0.006712302767148414
13,0,0,20,0.6487308144569397,-0.4317348599433899,0.4376697540283203,0.7018907858051839,0.07207433974608686,0.07597907468495459,0.10098224605306974,0.5066060523182656,0.3366875079752506,0.04,1.678075909614563,False,0.02199206641380334
14,0,0,20,0.648311972618103,-0.43095874786376953,0.4381835162639618,0.7018908037901584,0.07207444087019219,0.0759819509966918,0.10098512118930936,0.5058785230839724,0.33719839507465243,0.04,1.3842977285385132,False,-0.004837407861953318
15,0,0,20,0.6469793915748596,-0.4310474097728729,0.43370741605758667,0.7018908220848546,0.07207454142484246,0.07598401154313073,0.10098718098625388,0.5061096353337391,0.3327202350713328,0.04,1.655181646347046,False,0.017975702505499184
16,0,0,20,0.6485387086868286,-0.42993566393852234,0.4339756965637207,0.7018908406103638,0.07207464158791986,0.07598548768757656,0.10098865666014945,0.5048373964313045,0.33298703990357126,0.04,1.4011573791503906,False,0.0016769606691194375
17,0,0,20,0.6475447416305542,-0.4299459159374237,0.42976516485214233,0.7018908593076213,0.0720747414822137,0.07598654517522192,0.10098971385827657,0.5049537018208843,0.32877545099386574,0.04,1.6139591932296753,False,0.01789838145143709
18,0,0,20,0.6497681736946106,-0.429135799407959,0.43097978830337524,0.7018909292521961,0.07207473863615407,0.07598724847522575,0.10099053777003791,0.5039134698471407,0.32998925053333733,0.04,1.2700830698013306,False,-0.005260273335554094
19,0,0,20,0.648621141910553,-0.42950403690338135,0.4268034100532532,0.7018912697888429,0.0720748956913931,0.07598749837981401,0.10099063363833387,0.5043997741346468,0.3258127764149193,0.04,1.7083450555801392,False,0.01364870276465868
