step,phase,wp_idx,wp_total,ee_x,ee_y,ee_z,cube_x,cube_y,cube_z,cube_top_z,ee_xy_dist,ee_above_cube_top,gripper_cmd,act_norm,grasp_ready_at_lift,reward
1,0,0,20,0.6491851806640625,-0.4444793164730072,0.4773745536804199,0.6618568592096761,-0.032242057961430176,0.07596859901118276,0.10097066493013147,0.4124319686230738,0.37640388875028846,0.04,1.4707298278808594,False,0.037732742964422486
2,0,0,20,0.6494517922401428,-0.4450260102748871,0.47323930263519287,0.6618567266090919,-0.03224211214566781,0.07597444551362292,0.10097679809830251,0.4129702518964915,0.37226250453689036,0.04,1.1353427171707153,False,0.01996633973633661
3,0,0,20,0.6476107835769653,-0.4460432231426239,0.4664344787597656,0.6618566371797464,-0.03224212810774921,0.07597863386131709,0.1009811920177037,0.41404624209976026,0.3654532867420619,0.04,1.4290379285812378,False,0.03313703622708947
4,0,0,20,0.6473175883293152,-0.44722703099250793,0.46299633383750916,0.6618565787081112,-0.032242116658673964,0.07598163433176687,0.10098433990630637,0.41523952288515875,0.36201199393120276,0.04,1.2066140174865723,False,0.009204288939928947
5,0,0,20,0.647543728351593,-0.44746699929237366,0.4572863280773163,0.6618565424359855,-0.03224208555158654,0.07598378382462703,0.10098659511460292,0.41547152205423,0.35629973296271333,0.04,1.3549535274505615,False,0.031201470108881003
6,0,0,20,0.6463258862495422,-0.44888848066329956,0.4541967809200287,0.6618565220829414,-0.03224204034668903,0.07598532368974295,0.10098821078953599,0.41693579467094516,0.35320857013049267,0.04,1.2729778289794922,False,0.004001065726003028
7,0,0,20,0.6456134915351868,-0.44968727231025696,0.4488043487071991,0.6618565131453377,-0.032241985031508574,0.07598642682654096,0.10098936829039284,0.4177611801283894,0.34781498041680625,0.04,1.470196008682251,False,0.02358129305650262
8,0,0,20,0.6452664136886597,-0.4510068893432617,0.4460591673851013,0.6618565167972433,-0.03224191772653676,0.07598721530219427,0.10099018678188051,0.41909346567837336,0.3450689806032208,0.04,1.3186284303665161,False,0.0021103318142213713
9,0,0,20,0.6452973484992981,-0.45133429765701294,0.4416820704936981,0.6618566874021599,-0.03224202089228754,0.07598752184191004,0.10099061449929278,0.41941929873187883,0.3406914559944053,0.04,1.3272453546524048,False,0.02066088687765573
10,0,0,20,0.6434010863304138,-0.4528462886810303,0.43940985202789307,0.6618569476880264,-0.03224189912803409,0.07598769021586603,0.10099061579860796,0.42100911074429254,0.3384192362292851,0.04,1.4008073806762695,False,-0.004560350943515098
