step,phase,wp_idx,wp_total,ee_x,ee_y,ee_z,cube_x,cube_y,cube_z,cube_top_z,ee_xy_dist,ee_above_cube_top,gripper_cmd,act_norm,grasp_ready_at_lift,reward
1,0,0,20,0.6507209539413452,-0.4430520236492157,0.4780341684818268,0.7708879876279564,0.0018118295293634281,0.07571765547081348,0.10071951419113295,0.46080794681725223,0.37731465429069383,0.04,1.3599313497543335,False,0.04179103314689599
2,0,0,20,0.6518517732620239,-0.44298288226127625,0.47456806898117065,0.7708878289050655,0.0018117498246161125,0.07579467355844001,0.10079686889422476,0.4604474424681688,0.37377120008694587,0.04,1.2114511728286743,False,0.018013777392923255
3,0,0,20,0.6546922326087952,-0.44277581572532654,0.4680725336074829,0.770887719596802,0.0018117144579179757,0.07584984816055705,0.10085228707767349,0.45952090615206775,0.36722024652980945,0.04,1.4622654914855957,False,0.03843397971823497
4,0,0,20,0.6567481756210327,-0.44306257367134094,0.46462762355804443,0.7708876460662013,0.0018117111655996504,0.07588937441779073,0.10089198957786234,0.45928308048814825,0.3637356339801821,0.04,1.4129269123077393,False,0.015103481455684664
5,0,0,20,0.6573767066001892,-0.4425801932811737,0.45941704511642456,0.7708875984368798,0.0018117310739633656,0.07591769043568065,0.10092043310389193,0.4586599012314274,0.35849661201253263,0.04,1.4005396366119385,False,0.03134032803258555
6,0,0,20,0.6571577787399292,-0.4427929222583771,0.4569697380065918,0.7708875695568141,0.0018117677628110645,0.07593797560633074,0.10094081051532892,0.458920249834423,0.35602892749126286,0.04,1.159111738204956,False,0.00894521804259798
7,0,0,20,0.6600075960159302,-0.44286996126174927,0.4523657560348511,0.7708875542474172,0.0018118165875013951,0.07595250759849295,0.10095540922926778,0.45829711835073395,0.3514103468055833,0.04,1.3541046380996704,False,0.024183037910446344
8,0,0,20,0.6595739722251892,-0.4428916871547699,0.4492851197719574,0.7708875487594272,0.0018118741882115024,0.07596291809987142,0.10096586798897281,0.4584233521451263,0.3483192517829846,0.04,1.296129584312439,False,0.013331150079253796
9,0,0,20,0.6614121794700623,-0.4429865777492523,0.44586631655693054,0.7708875503786987,0.0018119381347439913,0.07597037602705407,0.10097336081712226,0.45807267607683094,0.34489295573980827,0.04,1.3099600076675415,False,0.01547200032291675
10,0,0,20,0.662049412727356,-0.44234970211982727,0.44284966588020325,0.7708875571406308,0.0018120066694655502,0.07597571877435039,0.10097872880292288,0.4573022690015319,0.34187093707728033,0.04,1.4228039979934692,False,0.017578546551271227
11,0,0,20,0.6635905504226685,-0.4437102973461151,0.4396171271800995,0.7708875676233209,0.0018120785212836687,0.07597954623848521,0.10098257451656038,0.45826066523179676,0.3386345526635391,0.04,1.3789830207824707,False,0.003974654034202746
