step,phase,wp_idx,wp_total,ee_x,ee_y,ee_z,cube_x,cube_y,cube_z,cube_top_z,ee_xy_dist,ee_above_cube_top,gripper_cmd,act_norm,grasp_ready_at_lift,reward
1,0,1,20,0.6500076651573181,-0.44300055503845215,0.4852548837661743,0.7219117231245888,-0.03683631615922299,0.07515507629468823,0.10016053098107502,0.41247979647069277,0.3850943527850993,0.04,0.0,False,-9.343669338246485e-07
2,0,1,20,0.650100827217102,-0.4410210847854614,0.4861092269420624,0.721911624172034,-0.03683632478689404,0.07539159253034135,0.10039739310141915,0.41051444648684654,0.3857118338406432,0.04,0.0,False,0.009116452769505345
3,0,1,20,0.6501378417015076,-0.44021543860435486,0.48630812764167786,0.7219118970217042,-0.036835613222654356,0.0755610881586816,0.10056609187592205,0.40971550927695893,0.38574203576575583,0.04,0.0,False,0.004682361205612384
4,0,1,20,0.6502017974853516,-0.4388704001903534,0.48688754439353943,0.7219120960735479,-0.03683508409656228,0.07568251258805672,0.10068695056683599,0.40838065858980493,0.38620059382670346,0.04,0.0,False,0.006150338232238095
5,0,1,20,0.6502470374107361,-0.437916100025177,0.48716482520103455,0.7219122426590595,-0.03683468454601403,0.07576949920918714,0.10077353562628172,0.40743367986219947,0.3863912895747528,0.04,0.0,False,0.005240277301653551
6,0,1,20,0.6502986550331116,-0.4368365406990051,0.48758724331855774,0.7219123522593365,-0.036834377373178705,0.07583181510777161,0.10083556652184002,0.4063622180958148,0.38675167679671774,0.04,0.0,False,0.005185426862202025
7,0,1,20,0.6503431797027588,-0.4359121322631836,0.4878731071949005,0.7219124357943183,-0.036834136057353556,0.07587645727491374,0.10088000643035394,0.4054447008818339,0.38699310076454657,0.04,0.0,False,0.004934956905933152
8,0,1,20,0.6503880620002747,-0.4349829852581024,0.4882030189037323,0.7219125009647971,-0.03683394169060049,0.07590843824856784,0.10091184387997046,0.4045224422240455,0.38729117502376187,0.04,0.0,False,0.004662331958347199
9,0,1,20,0.6504294276237488,-0.4341338276863098,0.48846766352653503,0.7219125532000632,-0.03683378079278144,0.07593134893481907,0.1009346527301203,0.40367953193561723,0.3875330107964147,0.04,0.0,False,0.004498177827405581
10,0,1,20,0.6504694819450378,-0.433313250541687,0.48873743414878845,0.7219125963269464,-0.03683364375363958,0.0759477618043525,0.10095099334964418,0.40286498630607154,0.38778644079914426,0.04,0.0,False,0.004242762625095153
11,0,1,20,0.6505070924758911,-0.4325462579727173,0.4889717996120453,0.7219126330420651,-0.03683352372198964,0.07595951973621501,0.10096270002694234,0.4021036175810092,0.38800909958510293,0.04,0.0,False,0.004077201744443482
12,0,1,20,0.6505430936813354,-0.43181511759757996,0.48919788002967834,0.7219126652450968,-0.0368334158137135,0.07596794294107363,0.10097108687504182,0.40137782760047175,0.38822679315463654,0.04,0.0,False,0.003861146923100911
13,0,1,20,0.6505771279335022,-0.43112632632255554,0.4894014596939087,0.7219126942739179,-0.03683331654707336,0.07597397719788736,0.10097709534518347,0.400694073556019,0.38842436434872524,0.04,0.0,False,0.0036944290107709943
14,0,1,20,0.6506091952323914,-0.4304722547531128,0.4895937442779541,0.7219127210704687,-0.036833223440106866,0.07597830004840726,0.1009813999078561,0.4000448471983898,0.388612344370098,0.04,0.0,False,0.003509009606991187
15,0,1,20,0.6506397128105164,-0.42985475063323975,0.48976930975914,0.7219127462977241,-0.03683313472358787,0.07598139687330598,0.10098448376434196,0.3994318914091645,0.388784825994798,0.04,0.0,False,0.0033481527524725774
16,0,1,20,0.6506685614585876,-0.4292696416378021,0.4899332821369171,0.7219127704221638,-0.0368330491363849,0.07598361539196474,0.10098669308765505,0.3988511206515146,0.38894658904926205,0.04,0.0,False,0.0031838931716643426
17,0,1,20,0.6506958603858948,-0.4287165105342865,0.4900842010974884,0.7219127937719019,-0.03683296577956757,0.07598520470529614,0.10098827588160056,0.39830210173991143,0.3890959252158879,0.04,0.0,False,0.0030334932768949496
18,0,1,20,0.6507217884063721,-0.428193062543869,0.49022430181503296,0.721912816577649,-0.036832884012398134,0.0759863432654318,0.10098940982001618,0.3977825433981088,0.38923489199501676,0.04,0.0,False,0.002885545433054526
19,0,1,20,0.6507463455200195,-0.427698016166687,0.49035364389419556,0.7219128518227791,-0.03683279038876084,0.07598715384675069,0.10099019182093384,0.39729119841971067,0.38936345207326173,0.04,0.0,False,0.002747178551500973
20,0,1,20,0.6507695913314819,-0.4272296726703644,0.4904734492301941,0.7219130326547145,-0.03683288501352579,0.07598747969828022,0.10099060989829467,0.39682621014253955,0.3894828393318994,0.04,0.0,False,0.0026135025422213687
21,0,1,20,0.6507916450500488,-0.42678672075271606,0.4905841648578644,0.7219133029837904,-0.036832764924857306,0.07598766302808369,0.10099061116581962,0.39638665201169393,0.38959355369204474,0.04,0.0,False,0.0024869384772008285
22,0,2,20,0.6508125066757202,-0.42636775970458984,0.49068665504455566,0.7219135117208306,-0.03683261766702609,0.07598779424025685,0.10099061115817212,0.3959709330249504,0.38969604388638357,0.04,0.0,False,0.002365130919109726
23,0,2,20,0.6509395837783813,-0.42393597960472107,0.49152863025665283,0.7219136759317505,-0.03683245132696796,0.07598788825562501,0.10099061114829955,0.39355617561166556,0.3905380191083533,0.04,0.0,False,0.011997861970516333
