step,phase,wp_idx,wp_total,ee_x,ee_y,ee_z,cube_x,cube_y,cube_z,cube_top_z,ee_xy_dist,ee_above_cube_top,gripper_cmd,act_norm,grasp_ready_at_lift,reward
1,0,1,20,0.6500076651573181,-0.44300055503845215,0.4852548837661743,0.7708879876279564,0.0018118295293634281,0.07571765547081348,0.10071951419113295,0.460944801278322,0.38453536957504136,0.04,0.0,False,-9.343669338246485e-07
2,0,1,20,0.650100827217102,-0.4410210847854614,0.4861092269420624,0.7708878289050655,0.0018117498246161125,0.07579467355844001,0.10079686889422476,0.45901026043604337,0.3853123580478376,0.04,0.0,False,0.009116452769505345
3,0,1,20,0.6501378417015076,-0.44021543860435486,0.48630812764167786,0.770887719596802,0.0018117144579179757,0.07584984816055705,0.10085228707767349,0.45822323932343995,0.3854558405640044,0.04,0.0,False,0.004682361205612384
4,0,1,20,0.6502017974853516,-0.4388704001903534,0.48688754439353943,0.7708876460662013,0.0018117111655996504,0.07588937441779073,0.10089198957786234,0.45690895954973393,0.3859955548156771,0.04,0.0,False,0.006150338232238095
5,0,1,20,0.6502470374107361,-0.437916100025177,0.48716482520103455,0.7708875984368798,0.0018117310739633656,0.07591769043568065,0.10092043310389193,0.45597665555141836,0.3862443920971426,0.04,0.0,False,0.005240277301653551
6,0,1,20,0.6502986550331116,-0.4368365406990051,0.48758724331855774,0.7708875695568141,0.0018117677628110645,0.07593797560633074,0.10094081051532892,0.4549219986134079,0.3866464328032288,0.04,0.0,False,0.005185426862202025
7,0,1,20,0.6503431797027588,-0.4359121322631836,0.4878731071949005,0.7708875542474172,0.0018118165875013951,0.07595250759849295,0.10095540922926778,0.45401894413317156,0.38691769796563275,0.04,0.0,False,0.004934956905933152
8,0,1,20,0.6503880620002747,-0.4349829852581024,0.4882030189037323,0.7708875487594272,0.0018118741882115024,0.07596291809987142,0.10096586798897281,0.4531113279845741,0.3872371509147595,0.04,0.0,False,0.004662331958347199
9,0,1,20,0.6504294276237488,-0.4341338276863098,0.48846766352653503,0.7708875503786987,0.0018119381347439913,0.07597037602705407,0.10097336081712226,0.4522818480493681,0.38749430270941276,0.04,0.0,False,0.004498177827405581
10,0,1,20,0.6504694819450378,-0.433313250541687,0.48873743414878845,0.7708875571406308,0.0018120066694655502,0.07597571877435039,0.10097872880292288,0.45148034541592524,0.38775870534586554,0.04,0.0,False,0.004242762625095153
11,0,1,20,0.6505070924758911,-0.4325462579727173,0.4889717996120453,0.7708875676233209,0.0018120785212836687,0.07597954623848521,0.10098257451656038,0.4507312095679161,0.3879892250954849,0.04,0.0,False,0.004077201744443482
12,0,1,20,0.6505430936813354,-0.43181511759757996,0.48919788002967834,0.7708875807977552,0.0018121527710432063,0.07598228817647715,0.10098532964926292,0.4500171165485343,0.3882125503804154,0.04,0.0,False,0.003861146923100911
13,0,1,20,0.6505771279335022,-0.43112632632255554,0.4894014596939087,0.7708875959193247,0.0018122287541387373,0.07598425245981112,0.10098730347175544,0.4493444126489874,0.38841415622215325,0.04,0.0,False,0.0036944290107709943
14,0,1,20,0.6506091952323914,-0.4304722547531128,0.4895937442779541,0.7708876124492724,0.001812305990059667,0.0759856596430037,0.10098871755069458,0.44870573776709793,0.3886050267272595,0.04,0.0,False,0.003509009606991187
15,0,1,20,0.6506397128105164,-0.42985475063323975,0.48976930975914,0.7708876299978223,0.001812384131424492,0.07598666772800444,0.1009897306200945,0.4481027525287252,0.3887795791390455,0.04,0.0,False,0.0033481527524725774
