step,phase,wp_idx,wp_total,ee_x,ee_y,ee_z,cube_x,cube_y,cube_z,cube_top_z,ee_xy_dist,ee_above_cube_top,gripper_cmd,act_norm,grasp_ready_at_lift,reward
1,0,0,20,0.6488125324249268,-0.4383275508880615,0.4914294481277466,0.6618568592096761,-0.032242057961430176,0.07596859901118276,0.10097066493013147,0.4062949446236471,0.3904587831976151,0.04,2.05110239982605,False,-0.011182690095665748
2,0,0,20,0.6537736058235168,-0.41982942819595337,0.5015906095504761,0.6618567266090919,-0.03224211214566781,0.07597444551362292,0.10097679809830251,0.38767159349725144,0.40061381145217356,0.04,1.98094642162323,False,0.05398383807574736
3,0,0,20,0.6487901210784912,-0.39729586243629456,0.5124308466911316,0.6618566371797464,-0.03224212810774921,0.07597863386131709,0.1009811920177037,0.36528750702732843,0.41144965467342787,0.04,2.0395114421844482,False,0.06562324778571549
4,0,0,20,0.6418870687484741,-0.37505149841308594,0.5236577391624451,0.6618565787081112,-0.032242116658673964,0.07598163433176687,0.10098433990630637,0.3433905262916702,0.42267339925613867,0.04,2.44914174079895,False,0.04936281615408156
5,0,0,20,0.6410945653915405,-0.3527664542198181,0.5342850089073181,0.6618565424359855,-0.03224208555158654,0.07598378382462703,0.10098659511460292,0.3211960936888282,0.43329841379271516,0.04,2.1674001216888428,False,0.045593024533048254
6,0,0,20,0.6362376809120178,-0.33076679706573486,0.5452436804771423,0.6618565220829414,-0.03224204034668903,0.07598532368974295,0.10098821078953599,0.2996220208814874,0.4442554696876063,0.04,2.548642635345459,False,0.028933801890512756
7,0,0,20,0.6348347663879395,-0.30901771783828735,0.5554206967353821,0.6618565131453377,-0.032241985031508574,0.07598642682654096,0.10098936829039284,0.2780916774528687,0.45443132844498924,0.04,2.0801212787628174,False,0.025063443550181752
8,0,0,20,0.630985677242279,-0.2876843512058258,0.5644482374191284,0.6618565167972433,-0.03224191772653676,0.07598721530219427,0.10099018678188051,0.25730107958702647,0.4634580506372479,0.04,2.415168285369873,False,0.02164069563563964
9,0,0,20,0.6293743252754211,-0.26704731583595276,0.5715295076370239,0.6618566874021599,-0.03224202089228754,0.07598752184191004,0.10099061449929278,0.23704141069212825,0.4705388931377311,0.04,1.9184494018554688,False,0.02766947817299803
10,0,0,20,0.6305208206176758,-0.24757760763168335,0.5697938203811646,0.6618569476880264,-0.03224189912803409,0.07598769021586603,0.10099061579860796,0.21760381480235533,0.4688032045825566,0.04,2.2500228881835938,False,0.09692487788298565
11,0,0,20,0.634852409362793,-0.22805792093276978,0.5697348117828369,0.6618571475157567,-0.032241749568030685,0.07598781071113055,0.10099061578991156,0.19766949398087455,0.4687441959929254,0.04,1.9187350273132324,False,0.07780504593471127
12,0,0,20,0.6369304656982422,-0.2105076164007187,0.5583423376083374,0.6618573036308407,-0.03224158049863801,0.07598789704988189,0.10099061577925356,0.1800003522373219,0.45735172182908385,0.04,2.2602763175964355,False,0.1699966938175712
13,0,0,20,0.6405656337738037,-0.19367371499538422,0.5465260148048401,0.6618574284259525,-0.032241397456085126,0.07598795891492822,0.10099061577080777,0.16283038311573908,0.44553539903403233,0.04,1.911914348602295,False,0.1693009262641587
14,0,0,20,0.6423938274383545,-0.17862088978290558,0.5274463295936584,0.6618575307814158,-0.032241204404696806,0.0759880032437515,0.10099061576430435,0.14766803323417727,0.4264557138293541,0.04,2.3132550716400146,False,0.22920220414696213
15,0,0,20,0.6476051807403564,-0.16397137939929962,0.508587658405304,0.6618576170597479,-0.03224100418409875,0.07598803500724954,0.10099061575937117,0.13249914601753446,0.40759704264593277,0.04,2.0641815662384033,False,0.2255909316978566
16,0,0,20,0.6504763960838318,-0.15117362141609192,0.4836248755455017,0.6618576918194983,-0.03224079882830206,0.07598805776722765,0.10099061575565463,0.11947614900607317,0.3826342597898471,0.04,2.258744716644287,False,0.27651102445789555
17,0,0,20,0.6557835936546326,-0.1402633637189865,0.45810383558273315,0.661857758326717,-0.0322405897942591,0.0759880740758413,0.10099061575285674,0.10819341552449652,0.3571132198298764,0.04,2.137599468231201,False,0.2764743807927744
18,0,0,20,0.6591894626617432,-0.13248126208782196,0.42897605895996094,0.6618578189214148,-0.03224037812557753,0.07598808576180198,0.10099061575074113,0.10027639274854615,0.3279854432092198,0.04,1.8381295204162598,False,0.3018274321552139
19,0,0,20,0.6637734770774841,-0.12361517548561096,0.4046502113342285,0.6618578752801244,-0.03224016456978802,0.07598809413545,0.10099061574912666,0.09139508821656016,0.30365959558510186,0.04,2.088940143585205,False,0.2582166873247804
20,0,0,20,0.6532855033874512,-0.11574403196573257,0.3799528181552887,0.6618579286040189,-0.03223994966234283,0.07598810013569449,0.10099061574787757,0.0839429463113187,0.2789622024074111,0.04,1.7657573223114014,False,0.25790564225903145
21,0,0,20,0.6473904848098755,-0.10806921869516373,0.3592952787876129,0.6618579797536934,-0.03223973378678347,0.07598810443530046,0.10099061574689347,0.07719727450771606,0.2583046630407194,0.04,1.9137895107269287,False,0.2170615396333403
22,0,0,20,0.6541612148284912,-0.10380189120769501,0.33432990312576294,0.661858029345731,-0.0322395172178386,0.07598810751633071,0.10099061574610088,0.07197509517032173,0.23333928737966206,0.04,1.8921390771865845,False,0.25455747783240334
23,0,0,20,0.6611983776092529,-0.09716299176216125,0.3126170337200165,0.6618580778218898,-0.0322393001522948,0.07598810972420243,0.10099061574544638,0.0649270431840508,0.2116264179745701,0.04,1.5970723628997803,False,0.22805966962812563
24,0,0,20,0.6550354361534119,-0.09196914732456207,0.29122281074523926,0.661858125498672,-0.03223908273110921,0.07598811130642082,0.10099061574489118,0.06011846393779516,0.19023219500034808,0.04,1.6802222728729248,False,0.21901698071750075
25,0,0,20,0.6523914337158203,-0.08504685759544373,0.27389290928840637,0.6618581726028389,-0.03223886505524859,0.07598811244033338,0.1009906157444074,0.05364982032849965,0.17290229354399897,0.04,1.7936575412750244,False,0.18425225125644207
26,0,0,20,0.6616278886795044,-0.08297336846590042,0.25173407793045044,0.6618582192968562,-0.032238647197034835,0.0759881132530167,0.10099061574397486,0.05073524410528416,0.15074346218647558,0.04,1.6137102842330933,False,0.2212514205575758
27,0,0,20,0.6669250130653381,-0.07847154140472412,0.2314780205488205,0.6618582656971242,-0.03223842920827174,0.0759881138355263,0.10099061574357908,0.046509919288932944,0.1304874048052414,0.04,2.035674810409546,False,0.2062578632145784
28,0,0,20,0.6613182425498962,-0.06760498136281967,0.21941788494586945,0.661858311887039,-0.032238211126066015,0.07598811425310714,0.10099061574320967,0.03537089356898192,0.11842726920265978,0.04,1.894158124923706,False,0.1457012756381476
29,0,0,20,0.6603991985321045,-0.06490722298622131,0.20010161399841309,0.6618583579263505,-0.03223799297699701,0.07598811455250988,0.10099061574285918,0.032701800187962406,0.0991109982555539,0.04,1.7034320831298828,False,0.1937737222826899
30,0,0,20,0.657072901725769,-0.058760467916727066,0.18357542157173157,0.6618584038578672,-0.03223777478010334,0.07598811476723324,0.10099061574252224,0.026950960685582684,0.08258480582920932,0.04,1.4949618577957153,False,0.174378006633059
31,0,0,20,0.660149872303009,-0.05639318376779556,0.16666823625564575,0.6618584497122597,-0.03223755654902223,0.07598811492128044,0.10099061574219502,0.024215977434242558,0.06567762051345073,0.04,1.7526063919067383,False,0.17053738885917144
32,0,0,20,0.6571655869483948,-0.05015331879258156,0.15324343740940094,0.6618588298833538,-0.03223679297774154,0.07598856663477666,0.10099000184430931,0.018521026605465778,0.05225343556509163,0.04,1.500552773475647,False,2.1441389601673366
33,0,0,20,0.6599584817886353,-0.04785552993416786,0.137082040309906,0.6618589074088906,-0.03223643817202899,0.07598893963588939,0.10099000073607589,0.01573428247529062,0.036092039573830115,0.04,1.697674036026001,False,0.1635724162301158
34,0,0,20,0.6568288803100586,-0.041808485984802246,0.12349771708250046,0.6618589306989795,-0.03223617573834827,0.07598917045139664,0.10099000299363271,0.010813442114768595,0.022507714088867745,0.04,1.6669542789459229,False,5.143630885724597
35,0,0,20,0.6594970226287842,-0.038250282406806946,0.11014075577259064,0.6618590091619261,-0.03223599644733413,0.07598940541676061,0.100989999995495,0.006461471657838912,0.009150755777095634,0.04,1.5971215963363647,False,0.13966399780926236
36,0,0,20,0.6549980640411377,-0.036606285721063614,0.09674714505672455,0.6618590246760595,-0.03223586763375452,0.07598953637685589,0.100990014095398,0.008134699446926427,-0.00424286903867345,0.04,1.4173909425735474,False,10.124625791963743
37,0,0,20,0.6559929251670837,-0.029591785743832588,0.08848553895950317,0.6618590802869292,-0.03223577060893017,0.07598966618937088,0.10099000003671876,0.006434472150608319,-0.01250446107721559,0.04,1.7128169536590576,False,0.08239433165649969
