step,phase,wp_idx,wp_total,ee_x,ee_y,ee_z,cube_x,cube_y,cube_z,cube_top_z,ee_xy_dist,ee_above_cube_top,gripper_cmd,act_norm,grasp_ready_at_lift,reward
1,0,0,20,0.6523146033287048,-0.4380623698234558,0.49116232991218567,0.70189070267308,0.07207265809849618,0.07543414445335614,0.10043777571490707,0.5125383267026321,0.3907245541972786,0.04,2.4395363330841064,False,-0.0010002461031310972
2,0,0,20,0.6604180335998535,-0.4191960394382477,0.5007397532463074,0.7018906849021385,0.07207290906537504,0.0755915711757788,0.10059505331986636,0.49301638975788226,0.400144699926441,0.04,2.217784881591797,False,0.07709303237793175
3,0,0,20,0.6642058491706848,-0.3969719409942627,0.5119580030441284,0.7018906758882298,0.0720731138677307,0.07570434931135125,0.100707729686268,0.47055648933493816,0.4112502733578604,0.04,2.5942554473876953,False,0.07795256461262112
4,0,0,20,0.6727727055549622,-0.3750629723072052,0.5227615833282471,0.7018906736370296,0.07207328649301888,0.07578514187119202,0.10078845296310085,0.4480833516200856,0.4219731303651462,0.04,2.220407009124756,False,0.07147525327231508
5,0,0,20,0.6775733828544617,-0.3530307412147522,0.5337918996810913,0.701890676581049,0.07207343670803162,0.07584302044581731,0.1008462845002357,0.42579912266418657,0.4329456151808556,0.04,2.5524184703826904,False,0.05817161430799578
6,0,0,20,0.6863728165626526,-0.3315490782260895,0.5442147850990295,0.7018906834979449,0.07207357132785379,0.07588448378613942,0.1008877160035123,0.40392084302145975,0.4433270690955172,0.04,2.22339129447937,False,0.05032413481533826
7,0,0,20,0.6918525695800781,-0.3099501430988312,0.5549591779708862,0.7018906934408303,0.07207369510452867,0.07591418749952389,0.10091739824194279,0.3821556971788732,0.45404177972894344,0.04,2.4257757663726807,False,0.03675365435393596
8,0,0,20,0.7001204490661621,-0.28883883357048035,0.5652003884315491,0.7018907056803508,0.07207381134907591,0.07593546679304493,0.10093866310596346,0.36091698639896375,0.46426172532558563,0.04,2.366913318634033,False,0.027801084721450486
9,0,0,20,0.7056354880332947,-0.26780927181243896,0.5757244825363159,0.7018907196574591,0.07207392236663052,0.07595071095887905,0.1009538976188682,0.3399038231258303,0.4747705849174477,0.04,2.3100733757019043,False,0.01422944944070692
10,0,0,20,0.7138898968696594,-0.24732695519924164,0.5854482650756836,0.7018907349454787,0.07207402976067279,0.07596163165000257,0.10096481188498173,0.3196262959774214,0.48448345319070185,0.04,2.533473253250122,False,0.007813742418149028
